fips_code,State,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Staffed All Beds [Per 1000 People],Staffed All Beds [Per 1000 Adults (20+)],Staffed All Beds [Per 1000 Elderly (65+)],Staffed ICU Beds [Per 1000 People],Staffed ICU Beds [Per 1000 Adults (20+)],Staffed ICU Beds [Per 1000 Elderly (65+)]
8083,CO,0.42,0.35,0.956,1.258,4.322,0.153,0.201,0.691
8085,CO,0.4,0.52,1.184,1.551,5.083,0.19,0.248,0.813
8087,CO,0.18,0.03,2.136,2.987,13.795,0.21,0.294,1.357
8089,CO,,,1.356,1.861,6.638,0,0,0
8095,CO,0.58,,9.333,12.706,41.408,0,0,0
8097,CO,0.3,0.05,1.393,1.671,7.18,0.223,0.267,1.149
8099,CO,0.35,,2.055,2.914,11.666,0,0,0
8101,CO,0.84,0.65,4.596,6.144,24.848,0.107,0.144,0.581
8103,CO,0.56,,3.946,5.428,25.381,0,0,0
8105,CO,0.39,,1.511,2.019,7.469,0,0,0
8107,CO,0.26,0.1,1.516,1.9,9.814,0.155,0.195,1.007
8115,CO,0.23,,3.908,5.006,14.901,0,0,0
8117,CO,0.31,0.06,1.097,1.33,8.028,0.258,0.313,1.889
8119,CO,0.29,,0.598,0.736,2.725,0,0,0
8123,CO,0.58,0.66,0.716,1.011,5.886,0.083,0.117,0.68
8125,CO,0.2,,3.094,4.363,16.748,0,0,0
9001,CT,0.64,0.51,1.862,2.49,11.72,0.194,0.259,1.221
9003,CT,0.71,0.71,2.635,3.448,15.385,0.242,0.317,1.413
9005,CT,0.43,0.46,0.867,1.088,4.078,0.116,0.145,0.545
9007,CT,0.58,0.77,1.285,1.612,6.321,0.148,0.185,0.726
9009,CT,0.75,0.72,2.648,3.45,15.253,0.205,0.267,1.182
9011,CT,0.66,0.76,1.503,1.928,8.249,0.12,0.154,0.658
9013,CT,0.57,0.46,1.385,1.805,8.765,0.106,0.138,0.671
9015,CT,0.47,0.39,1.265,1.642,7.622,0.051,0.067,0.309
11001,DC,0.76,0.63,4.541,5.761,37.396,0.571,0.724,4.701
10001,DE,0.78,0.88,2.128,2.868,12.466,0.162,0.219,0.951
10003,DE,0.71,0.71,5.027,6.652,32.311,0.359,0.475,2.31
10005,DE,0.63,0.45,1.26,1.58,4.546,0.126,0.159,0.456
12001,FL,0.86,0.91,6.264,8.156,44.693,1.108,1.442,7.903
12003,FL,0.2,,22.042,29.804,155.666,0,0,0
12005,FL,0.79,0.94,3.017,3.94,17.646,0.389,0.507,2.273
12007,FL,0.5,,0.361,0.459,2.026,0,0,0
12009,FL,0.76,0.7,2.848,3.573,12.027,0.315,0.395,1.33
12011,FL,0.84,0.92,2.802,3.652,16.857,0.271,0.353,1.631
12013,FL,0.7,,0.686,0.88,3.801,0,0,0
12015,FL,0.66,0.88,3.805,4.388,9.463,0.319,0.368,0.793
12017,FL,0.76,0.7,2.014,2.408,5.549,0.27,0.323,0.745
12019,FL,0.83,0.88,2.518,3.383,15.951,0.194,0.261,1.232
12021,FL,0.8,0.66,2.341,2.888,7.266,0.225,0.277,0.697
12023,FL,0.74,0.83,2.355,3.102,12.468,0.17,0.224,0.901
12027,FL,0.69,0.88,1.467,1.862,6.613,0.213,0.271,0.962
12031,FL,0.77,0.76,4,5.324,28.476,0.464,0.618,3.304
12033,FL,0.79,0.95,4.424,5.846,26.266,0.447,0.59,2.653
12035,FL,0.96,0.89,0.883,1.086,2.876,0.161,0.197,0.523
12037,FL,0.25,,1.363,1.654,5.686,0,0,0
12039,FL,,,0,0,0,0,0,0
12045,FL,0.29,,1.299,1.569,6.022,0,0,0
12049,FL,0.92,,0.918,1.292,5.516,0,0,0
12051,FL,0.48,,0.698,0.981,5.077,0,0,0
12053,FL,0.73,0.87,3.825,4.793,13.928,0.325,0.407,1.183
12055,FL,0.76,0.77,2.504,3.08,7.093,0.285,0.35,0.806
12057,FL,0.85,0.94,2.652,3.541,18.562,0.269,0.359,1.88
12059,FL,0.35,,1.027,1.319,5.167,0,0,0
